,NAME,B25031_001E,state,county
0,"Duval County, Florida",995.0,12,031
1,"Brevard County, Florida",1013.0,12,009
2,"Clay County, Florida",1144.0,12,019
3,"Lake County, Florida",1015.0,12,069
4,"Nassau County, Florida",1061.0,12,089
5,"Pinellas County, Florida",1061.0,12,103
6,"Polk County, Florida",938.0,12,105
7,"St. Lucie County, Florida",1206.0,12,111
8,"Indian River County, Florida",906.0,12,061
9,"Palm Beach County, Florida",1349.0,12,099
10,"St. Johns County, Florida",1296.0,12,109
11,"Seminole County, Florida",1202.0,12,117
12,"Miami-Dade County, Florida",1290.0,12,086
13,"Bay County, Florida",982.0,12,005
14,"Flagler County, Florida",1179.0,12,035
15,"Osceola County, Florida",1183.0,12,097
16,"Sumter County, Florida",804.0,12,119
17,"Walton County, Florida",875.0,12,131
18,"Lee County, Florida",1116.0,12,071
19,"Marion County, Florida",857.0,12,083
20,"Collier County, Florida",1281.0,12,021
21,"Orange County, Florida",1151.0,12,095
22,"Pasco County, Florida",1013.0,12,101
23,"Highlands County, Florida",782.0,12,055
24,"Alachua County, Florida",949.0,12,001
25,"Charlotte County, Florida",952.0,12,015
26,"Columbia County, Florida",807.0,12,023
27,"Martin County, Florida",1049.0,12,085
28,"Putnam County, Florida",637.0,12,107
29,"Sarasota County, Florida",1206.0,12,115
30,"Manatee County, Florida",1134.0,12,081
31,"Citrus County, Florida",779.0,12,017
32,"Santa Rosa County, Florida",1083.0,12,113
33,"Volusia County, Florida",1022.0,12,127
34,"Leon County, Florida",1019.0,12,073
35,"Broward County, Florida",1328.0,12,011
36,"Monroe County, Florida",1550.0,12,087
37,"Hernando County, Florida",947.0,12,053
38,"Hillsborough County, Florida",1100.0,12,057
39,"Okaloosa County, Florida",1091.0,12,091
40,"Escambia County, Florida",953.0,12,033
